,degree,frac_direct_interactions,frac_direct_interactions_pvalue,common_interactor_score,common_interactor_score_pvalue
count,29027.0,29027.0,29027.0,29027.0,29027.0
mean,11.816550108519655,0.002887714490876578,0.9063350673510868,0.052369393371898165,0.5573687945705722
std,23.750655667586294,0.012608097614033694,0.27273428797926325,0.0958079582270763,0.38836434371489464
min,1.0,0.0,0.0,0.0,0.0
25%,2.0,0.0,1.0,0.0,0.172
50%,4.0,0.0,1.0,0.015819299929208316,0.533
75%,11.0,0.0,1.0,0.05728607901458796,1.0
max,636.0,0.2727272727272727,1.0,1.1197797601106774,1.0
<= 0.05,,,0.04730078892066007,,0.11823474695972715
