,lci,lci,lci,lci,random_walk,random_walk,random_walk,random_walk,direct_neighbor,direct_neighbor,direct_neighbor,direct_neighbor,diamond,diamond,diamond,diamond,gcn,gcn,gcn,gcn,node2vec,node2vec,node2vec,node2vec
,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision
count,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0
mean,0.18517912495668074,0.10198224333147768,0.7948072230016395,0.02978838718953001,0.14238627627111142,0.06308322844708278,0.7951880756663307,0.01845880720641876,0.0805917411100504,0.025090925993659766,0.6597867628189182,0.005413884003859018,0.08857714270558521,0.05821265348204408,0.5516787885276399,0.021093922450951437,0.12834361040669987,0.05600084224560722,0.6037309634703385,0.019163095363925152,0.08502129996315838,0.03761464068332443,0.7036447361380489,0.011687758973231606
std,0.17043220161735242,0.12800304781539307,0.09219750401245053,0.048840897018724364,0.1525334283068435,0.1003124473045539,0.08124125547829184,0.04027697912303664,0.1392612191494463,0.07511205499069463,0.09309772462624298,0.01620507621892037,0.12245944459593551,0.10334509346822397,0.0681789213105427,0.053253272258520105,0.14740137692137062,0.09050615597298778,0.1333837136064585,0.037254327141547854,0.1328256505009899,0.08415163241525087,0.11459678450024194,0.03269368965668939
min,0.0,0.0,0.06638830897703549,4.907662451090493e-05,0.0,0.0,0.4145283281518259,8.898225552475744e-05,0.0,0.0,0.4733319403816688,4.639079606606049e-05,0.0,0.0,0.4930118798043327,4.639079606606049e-05,0.0,0.0,0.09315704012990024,5.1169415503216215e-05,0.0,0.0,0.2458294652803565,7.008023469749785e-05
25%,0.05833333333333333,0.0,0.7459751064753486,0.003570693965843784,0.042857142857142864,0.0,0.7514886224098655,0.0025201766873712934,0.0,0.0,0.5958070600468175,0.0008851013525102696,0.0,0.0,0.5055572645882371,0.00038676276806089507,0.01111111111111111,0.0,0.5132511432318725,0.0014935002477072159,0.0,0.0,0.6328653403957777,0.0009611770439651102
50%,0.15,0.05,0.807205179375319,0.01142859688797047,0.1,0.025,0.7943168105448807,0.006460386977373453,0.0125,0.0,0.6596269903904183,0.001739800578868942,0.05,0.01111111111111111,0.5309868237590629,0.0026134917133197265,0.09166666666666663,0.016666666666666666,0.5961035042933396,0.005469296121696774,0.03666666666666667,0.0,0.702353104984684,0.0024874301231567306
75%,0.2576388888888889,0.15,0.8507404201340907,0.03122997745517998,0.2,0.1,0.847283928839424,0.016351229177339985,0.1,0.0,0.7151880910989374,0.00401276423260426,0.11348484848484847,0.06666666666666668,0.5690191774989382,0.015495851924631343,0.2,0.07928571428571429,0.688167230991261,0.01765827960481428,0.1,0.03666666666666667,0.781385203322505,0.007530449659848653
max,1.0,1.0,0.9997749002134968,0.4605526826115061,1.0,0.85,0.9993525480367584,0.5070188974987306,1.0,0.9,0.9993293418732015,0.31668523030514983,1.0,1.0,0.999937343358396,0.7424242424242424,1.0,0.9,0.9995706859741949,0.3600265518875763,0.95,0.8,0.9983824991713622,0.5467986749377083
