,loo_ptest[DP],loo_ptest[DP],loo_ptest[DP],lci_dpp[DP],lci_dpp[DP],lci_dpp[DP],lci_dpp[DP],lci_dpp[0.3][DP],lci_dpp[0.3][DP],lci_dpp[0.3][DP],lci_dpp[0.3][DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],subgraph_metrics[DP],subgraph_metrics[DP],subgraph_metrics[DP]
,disease_size,pvalue_COMP,pvalue_DNS,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Conductance of Disease Nodes,Conductance of Intermediate Nodes,Density of Disease Subgraph
count,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0,1811.0
mean,41.82440640530094,0.08108227498619547,0.22729983434566536,0.18517912495668076,0.10198224333147766,0.7948072230016395,0.029788387189530006,0.18151062543676383,0.09588282283713619,0.7944727478924692,0.02871708336343553,0.17438711848540037,0.09432780183923745,0.7693231691801783,0.03131452456622887,0.14238627627111142,0.06308322844708278,0.7951880756663307,0.01845880720641876,0.08059174111005038,0.025090925993659766,0.6597867628189182,0.005413884003859018,0.08857714270558521,0.058212653482044074,0.5516787885276399,0.021093922450951437,0.08502129996315838,0.03761464068332442,0.7036447361380489,0.011687758973231606,0.9708637248228356,0.8471551922067732,0.08350519634835826
std,69.28992720253851,0.15831830086034832,0.2084013024608432,0.17043220161735242,0.12800304781539307,0.09219750401245053,0.048840897018724364,0.1665043552165218,0.12284087086678046,0.08910893261547982,0.054950238974522836,0.17551230886238878,0.12559214893362333,0.09514621299444638,0.058260808277185175,0.1525334283068435,0.1003124473045539,0.08124125547829184,0.04027697912303664,0.1392612191494463,0.07511205499069463,0.09309772462624298,0.01620507621892037,0.12245944459593551,0.10334509346822397,0.0681789213105427,0.053253272258520105,0.1328256505009899,0.08415163241525085,0.11459678450024194,0.03269368965668939,0.01895902160483196,0.14324950578980034,0.07120980774178966
min,2.0,0.0,0.0,0.0,0.0,0.06638830897703549,4.907662451090493e-05,0.0,0.0,0.3196362286562732,4.802859120610562e-05,0.0,0.0,0.405516617156,4.63994060876e-05,0.0,0.0,0.4145283281518259,8.898225552475744e-05,0.0,0.0,0.4733319403816688,4.639079606606049e-05,0.0,0.0,0.4930118798043327,4.639079606606049e-05,0.0,0.0,0.2458294652803565,7.008023469749785e-05,0.8202247191011236,0.0,0.0
25%,14.0,0.0,0.07,0.05833333333333333,0.0,0.7459751064753486,0.003570693965843784,0.057142857142857134,0.0,0.7469090105911284,0.0035562568765854672,0.04580419580415,0.0,0.717490896664,0.0028008145103699993,0.042857142857142864,0.0,0.7514886224098655,0.0025201766873712934,0.0,0.0,0.5958070600468175,0.0008851013525102696,0.0,0.0,0.5055572645882371,0.00038676276806089507,0.0,0.0,0.6328653403957777,0.0009611770439651102,0.9652143044558656,0.7763434214342461,0.035882566745968805
50%,21.0,0.01,0.17,0.15,0.05,0.807205179375319,0.01142859688797047,0.15,0.05,0.8054624616923334,0.010347883963213806,0.125,0.05,0.7737822061190001,0.0096355277201,0.1,0.025,0.7943168105448807,0.006460386977373453,0.0125,0.0,0.6596269903904183,0.001739800578868942,0.05,0.01111111111111111,0.5309868237590629,0.0026134917133197265,0.03666666666666667,0.0,0.702353104984684,0.0024874301231567306,0.9752407152682256,0.8992575338477217,0.06461538461538463
75%,43.0,0.08,0.33,0.2576388888888889,0.15,0.8507404201340907,0.03122997745517998,0.25,0.15,0.8515596338743978,0.028199957960415963,0.25,0.133333333333,0.8295725829784999,0.0286473259236,0.2,0.1,0.847283928839424,0.016351229177339985,0.1,0.0,0.7151880910989374,0.00401276423260426,0.11348484848484847,0.06666666666666668,0.5690191774989382,0.015495851924631343,0.1,0.03666666666666667,0.781385203322505,0.007530449659848653,0.9824405884711653,0.9591469791212842,0.1111111111111111
max,1410.0,1.0,0.98,1.0,1.0,0.9997749002134968,0.4605526826115061,1.0,1.0,0.99998375568551,0.8333333333333333,1.0,1.0,0.999895572264,0.708571428571,1.0,0.85,0.9993525480367584,0.5070188974987306,1.0,0.9,0.9993293418732015,0.31668523030514983,1.0,1.0,0.999937343358396,0.7424242424242424,0.95,0.8,0.9983824991713622,0.5467986749377083,1.0,1.0,1.0
